Temp,Setpoint,,Time
38.14,38.5,114.45,391095
38.14,38.5,127.32,391296
38.17,38.5,123.43,391497
38.14,38.5,114.54,391698
38.14,38.5,127.42,391899
38.17,38.5,123.52,392100
38.14,38.5,114.64,392301
38.14,38.5,127.52,392502
38.17,38.5,123.62,392703
38.14,38.5,114.74,392904
38.14,38.5,127.62,393105
38.14,38.5,123.72,393306
38.17,38.5,123.75,393507
38.17,38.5,114.87,393708
38.17,38.5,118.83,393909
38.14,38.5,118.86,394110
38.14,38.5,127.81,394311
38.17,38.5,123.91,394512
38.14,38.5,115.02,394713
38.14,38.5,127.9,394914
38.14,38.5,124,395115
38.17,38.5,124.04,395316
38.17,38.5,115.15,395517
38.14,38.5,119.12,395718
38.17,38.5,128.06,395919
38.17,38.5,115.25,396120
38.14,38.5,119.21,396321
38.17,38.5,128.16,396522
38.17,38.5,115.34,396723
38.17,38.5,119.3,396924
38.14,38.5,119.33,397125
38.17,38.5,128.28,397326
38.17,38.5,115.47,397527
38.17,38.5,119.43,397728
38.17,38.5,119.46,397929
38.17,38.5,119.49,398130
38.17,38.5,119.52,398331
38.17,38.5,119.55,398532
38.17,38.5,119.58,398733
38.17,38.5,119.61,398934
38.17,38.5,119.64,399135
38.17,38.5,119.67,399336
38.17,38.5,119.7,399537
38.17,38.5,119.73,399738
38.17,38.5,119.76,399939
38.17,38.5,119.79,400140
38.17,38.5,119.82,400341
38.21,38.5,119.85,400542
38.17,38.5,110.96,400743
38.17,38.5,123.84,400944
38.21,38.5,119.94,401145
38.17,38.5,111.05,401346
38.17,38.5,123.93,401547
38.17,38.5,120.03,401748
38.21,38.5,120.06,401949
38.17,38.5,111.17,402150
38.21,38.5,124.05,402351
38.17,38.5,111.23,402552
38.24,38.5,124.1,402753
38.17,38.5,102.34,402954
38.21,38.5,128.1,403155
38.21,38.5,111.34,403356
38.21,38.5,115.3,403557
38.17,38.5,115.32,403758
38.21,38.5,124.27,403959
38.21,38.5,111.45,404160
38.21,38.5,115.41,404361
38.21,38.5,115.44,404562
38.21,38.5,115.46,404763
38.21,38.5,115.49,404964
38.21,38.5,115.52,405165
38.21,38.5,115.54,405366
38.21,38.5,115.57,405567
38.21,38.5,115.6,405768
38.21,38.5,115.63,405969
38.21,38.5,115.65,406170
38.21,38.5,115.68,406371
38.21,38.5,115.71,406572
38.24,38.5,115.73,406773
38.21,38.5,106.82,406974
38.21,38.5,119.73,407175
38.24,38.5,115.81,407376
38.21,38.5,106.89,407577
38.24,38.5,119.81,407778
38.24,38.5,106.95,407979
38.21,38.5,110.91,408180
38.21,38.5,119.88,408381
38.24,38.5,115.96,408582
38.21,38.5,107.05,408783
38.24,38.5,119.96,408984
38.24,38.5,107.1,409185
38.21,38.5,111.07,409386
38.24,38.5,120.03,409587
38.21,38.5,107.17,409788
38.24,38.5,120.09,409989
38.21,38.5,107.22,410190
38.24,38.5,120.14,410391
38.24,38.5,107.28,410592
38.21,38.5,111.24,410793
38.24,38.5,120.21,410994
38.24,38.5,107.35,411195
38.24,38.5,111.32,411396
38.24,38.5,111.34,411597
38.21,38.5,111.37,411798
38.24,38.5,120.33,411999
38.21,38.5,107.47,412200
38.28,38.5,120.39,412401
38.21,38.5,98.61,412602
38.24,38.5,124.37,412803
38.24,38.5,107.57,413004
38.24,38.5,111.54,413205
38.24,38.5,111.56,413406
38.21,38.5,111.59,413607
38.24,38.5,120.56,413808
38.24,38.5,107.69,414009
38.24,38.5,111.66,414210
38.24,38.5,111.69,414411
38.21,38.5,111.71,414612
38.24,38.5,120.68,414813
38.24,38.5,107.82,415014
38.24,38.5,111.79,415215
38.21,38.5,111.81,415416
38.24,38.5,120.78,415617
38.24,38.5,107.92,415818
38.21,38.5,111.88,416019
38.21,38.5,120.85,416220
38.21,38.5,116.93,416421
38.24,38.5,116.96,416622
38.24,38.5,108.05,416823
38.24,38.5,112.01,417024
38.24,38.5,112.04,417225
38.24,38.5,112.06,417426
38.24,38.5,112.09,417627
38.24,38.5,112.11,417828
38.21,38.5,112.13,418029
38.21,38.5,121.1,418230
38.24,38.5,117.18,418431
38.21,38.5,108.27,418632
38.21,38.5,121.18,418833
38.24,38.5,117.26,419034
38.21,38.5,108.34,419235
38.21,38.5,121.26,419436
38.21,38.5,117.34,419637
38.21,38.5,117.37,419838
38.24,38.5,117.39,420039
38.21,38.5,108.48,420240
38.21,38.5,121.39,420441
38.24,38.5,117.47,420642
38.21,38.5,108.55,420843
38.21,38.5,121.47,421044
38.21,38.5,117.55,421245
38.21,38.5,117.58,421446
38.21,38.5,117.6,421647
38.21,38.5,117.63,421848
38.21,38.5,117.66,422049
38.21,38.5,117.69,422250
38.17,38.5,117.71,422451
38.21,38.5,126.66,422652
38.21,38.5,113.84,422853
38.21,38.5,117.8,423054
38.21,38.5,117.82,423255
38.21,38.5,117.85,423456
38.21,38.5,117.88,423657
38.21,38.5,117.9,423858
38.21,38.5,117.93,424059
38.21,38.5,117.96,424260
38.21,38.5,117.99,424461
38.17,38.5,118.01,424662
38.21,38.5,126.96,424863
38.17,38.5,114.14,425064
38.21,38.5,127.02,425265
38.17,38.5,114.19,425466
38.17,38.5,127.07,425667
38.21,38.5,123.17,425868
38.21,38.5,114.28,426069
38.21,38.5,118.24,426270
38.17,38.5,118.27,426471
38.21,38.5,127.21,426672
38.17,38.5,114.39,426873
38.21,38.5,127.27,427074
38.21,38.5,114.45,427275
38.17,38.5,118.41,427476
38.17,38.5,127.36,427677
38.17,38.5,123.45,427878
38.17,38.5,123.48,428079
38.17,38.5,123.51,428280
38.17,38.5,123.54,428481
38.17,38.5,123.57,428682
38.21,38.5,123.6,428883
38.17,38.5,114.72,429084
38.17,38.5,127.59,429285
38.21,38.5,123.69,429486
38.17,38.5,114.8,429687
38.17,38.5,127.68,429888
38.17,38.5,123.78,430089
38.17,38.5,123.81,430290
38.17,38.5,123.84,430491
38.21,38.5,123.87,430692
38.17,38.5,114.98,430893
38.17,38.5,127.86,431094
38.17,38.5,123.96,431295
38.17,38.5,123.99,431496
38.21,38.5,124.02,431697
38.17,38.5,115.13,431898
38.17,38.5,128.01,432099
38.17,38.5,124.11,432300
38.17,38.5,124.14,432501
38.17,38.5,124.17,432702
38.17,38.5,124.2,432903
38.17,38.5,124.23,433104
38.17,38.5,124.26,433305
38.17,38.5,124.29,433506
38.17,38.5,124.32,433707
38.17,38.5,124.35,433908
38.17,38.5,124.38,434109
38.17,38.5,124.41,434310
38.14,38.5,124.44,434511
38.17,38.5,133.38,434712
38.17,38.5,120.57,434913
38.17,38.5,124.53,435114
38.17,38.5,124.56,435315
38.17,38.5,124.59,435516
38.14,38.5,124.62,435717
38.17,38.5,133.57,435918
38.14,38.5,120.75,436119
38.17,38.5,133.63,436320
38.17,38.5,120.82,436521
38.14,38.5,124.78,436722
38.17,38.5,133.73,436923
38.17,38.5,120.91,437124
38.17,38.5,124.87,437325
38.21,38.5,124.9,437526
38.17,38.5,116.02,437727
38.14,38.5,128.89,437928
38.14,38.5,133.91,438129
38.17,38.5,130.01,438330
38.17,38.5,121.12,438531
38.17,38.5,125.09,438732
38.21,38.5,125.12,438933
38.17,38.5,116.23,439134
38.17,38.5,129.11,439335
38.17,38.5,125.21,439536
38.21,38.5,125.24,439737
38.21,38.5,116.35,439938
38.21,38.5,120.31,440139
38.21,38.5,120.34,440340
38.21,38.5,120.36,440541
38.21,38.5,120.39,440742
38.21,38.5,120.42,440943
38.21,38.5,120.44,441144
38.21,38.5,120.47,441345
38.24,38.5,120.5,441546
38.28,38.5,111.58,441747
38.24,38.5,106.63,441948
38.24,38.5,119.5,442149
38.24,38.5,115.59,442350
38.24,38.5,115.62,442551
38.28,38.5,115.64,442752
38.28,38.5,106.75,442953
38.24,38.5,110.7,443154
38.24,38.5,119.64,443355
38.28,38.5,115.73,443556
38.28,38.5,106.84,443757
38.28,38.5,110.79,443958
38.31,38.5,110.81,444159
38.28,38.5,101.91,444360
38.28,38.5,114.78,444561
38.28,38.5,110.87,444762
38.31,38.5,110.89,444963
38.28,38.5,101.99,445164
38.31,38.5,114.86,445365
38.31,38.5,102.03,445566
38.28,38.5,105.98,445767
38.31,38.5,114.92,445968
38.31,38.5,102.09,446169
38.31,38.5,106.04,446370
38.31,38.5,106.06,446571
38.34,38.5,106.07,446772
38.31,38.5,97.17,446973
38.34,38.5,110.04,447174
38.34,38.5,97.21,447375
38.34,38.5,101.15,447576
38.31,38.5,101.17,447777
38.34,38.5,110.1,447978
38.31,38.5,97.27,448179
38.38,38.5,110.13,448380
38.34,38.5,88.38,448581
38.31,38.5,105.18,448782
38.34,38.5,110.18,448983
38.34,38.5,97.34,449184
38.34,38.5,101.29,449385
38.34,38.5,101.3,449586
38.34,38.5,101.32,449787
38.34,38.5,101.33,449988
38.34,38.5,101.35,450189
38.34,38.5,101.36,450390
38.38,38.5,101.38,450591
38.34,38.5,92.47,450792
38.34,38.5,105.34,450993
38.34,38.5,101.42,451194
38.34,38.5,101.43,451395
38.34,38.5,101.45,451596
38.34,38.5,101.46,451797
38.34,38.5,101.48,451998
38.34,38.5,101.49,452199
38.38,38.5,101.5,452400
38.34,38.5,92.6,452601
38.38,38.5,105.46,452802
38.34,38.5,92.63,453003
38.34,38.5,105.49,453204
38.34,38.5,101.57,453405
38.34,38.5,101.58,453606
38.34,38.5,101.6,453807
38.34,38.5,101.61,454008
38.34,38.5,101.63,454209
38.38,38.5,101.64,454410
38.34,38.5,92.74,454611
38.34,38.5,105.6,454812
38.34,38.5,101.68,455013
38.34,38.5,101.7,455214
38.34,38.5,101.71,455415
38.34,38.5,101.73,455616
38.38,38.5,101.74,455817
38.34,38.5,92.84,456018
38.34,38.5,105.7,456219
38.34,38.5,101.78,456420
38.38,38.5,101.8,456621
38.38,38.5,92.89,456822
38.34,38.5,96.84,457023
38.34,38.5,105.77,457224
38.38,38.5,101.85,457425
38.38,38.5,92.94,457626
38.38,38.5,989,457827
38.34,38.5,96.9,458028
38.38,38.5,105.83,458229
38.34,38.5,92.99,458430
38.34,38.5,105.85,458631
38.38,38.5,101.94,458832
38.34,38.5,93.03,459033
38.34,38.5,105.89,459234
38.34,38.5,101.98,459435
38.34,38.5,101.99,459636
38.34,38.5,102.1459837,
38.34,38.5,102.02,460038
38.34,38.5,102.03,460239
38.34,38.5,102.05,460440
38.34,38.5,102.06,460641
38.34,38.5,102.08,460842
38.34,38.5,102.09,461043
38.34,38.5,102.11,461244
38.34,38.5,102.12,461445
38.34,38.5,102.14,461646
38.31,38.5,102.15,461847
38.31,38.5,111.08,462048
38.34,38.5,107.17,462249
38.34,38.5,98.27,462450
38.34,38.5,102.21,462651
38.34,38.5,102.23,462852
38.34,38.5,102.24,463053
38.34,38.5,102.26,463254
38.34,38.5,102.27,463455
38.34,38.5,102.29,463656
38.34,38.5,102.3,463857
38.34,38.5,102.32,464058
38.31,38.5,102.33,464259
38.31,38.5,111.26,464460
