Temp,Setpoint,Output,TempPWM,SetpointPWM,Status,,
37.43,37,0,67.56,67.23,hello,,
37.39,37,0,67.53,67.23,hello,,
37.43,37,10.12,67.56,67.23,hello,,
37.43,37,0,67.56,67.23,hello,,
37.36,37,0,67.5,67.23,hello,,
37.43,37,20.51,67.56,67.23,hello,,
37.39,37,0,67.53,67.23,hello,,
37.39,37,9.96,67.53,67.23,hello,,
37.39,37,4.16,67.53,67.23,hello,,
37.39,37,4.13,67.53,67.23,hello,,
37.39,37,4.1,67.53,67.23,hello,,
37.39,37,4.07,67.53,67.23,hello,,
37.36,37,4.04,67.5,67.23,hello,,
37.36,37,14.5,67.5,67.23,hello,,
37.33,37,8.7,67.48,67.23,hello,,
37.36,37,19.19,67.5,67.23,hello,,
37.36,37,2.87,67.5,67.23,hello,,
37.36,37,8.62,67.5,67.23,hello,,
37.33,37,8.59,67.48,67.23,hello,,
37.33,37,19.09,67.48,67.23,hello,,
37.36,37,13.28,67.5,67.23,hello,,
37.33,37,2.73,67.48,67.23,hello,,
37.33,37,19.01,67.48,67.23,hello,,
37.33,37,13.2,67.48,67.23,hello,,
37.33,37,13.17,67.48,67.23,hello,,
37.29,37,13.15,67.45,67.23,hello,,
37.29,37,23.61,67.45,67.23,hello,,
37.29,37,17.82,67.45,67.23,hello,,
37.29,37,17.8,67.45,67.23,hello,,
37.29,37,17.78,67.45,67.23,hello,,
37.26,37,17.75,67.43,67.23,hello,,
37.26,37,28.22,67.43,67.23,hello,,
37.26,37,22.43,67.43,67.23,hello,,
37.29,37,22.41,67.45,67.23,hello,,
37.26,37,11.9,67.43,67.23,hello,,
37.26,37,28.14,67.43,67.23,hello,,
37.26,37,22.35,67.43,67.23,hello,,
37.26,37,22.33,67.43,67.23,hello,,
37.22,37,22.31,67.4,67.23,hello,,
37.22,37,32.81,67.4,67.23,hello,,
37.26,37,27.01,67.43,67.23,hello,,
37.22,37,16.47,67.4,67.23,hello,,
37.26,37,32.75,67.43,67.23,hello,,
37.19,37,16.43,67.37,67.23,hello,,
37.22,37,43.2,67.4,67.23,hello,,
37.22,37,21.15,67.4,67.23,hello,,
37.22,37,26.9,67.4,67.23,hello,,
37.22,37,26.88,67.4,67.23,hello,,
37.22,37,26.87,67.4,67.23,hello,,
37.19,37,26.85,67.37,67.23,hello,,
37.19,37,37.32,67.37,67.23,hello,,
37.19,37,31.54,67.37,67.23,hello,,
37.19,37,31.52,67.37,67.23,hello,,
37.19,37,31.51,67.37,67.23,hello,,
37.19,37,31.49,67.37,67.23,hello,,
37.19,37,31.48,67.37,67.23,hello,,
37.16,37,31.46,67.35,67.23,hello,,
37.19,37,41.94,67.37,67.23,hello,,
37.16,37,25.67,67.35,67.23,hello,,
37.16,37,41.91,67.35,67.23,hello,,
37.16,37,36.13,67.35,67.23,hello,,
37.16,37,36.12,67.35,67.23,hello,,
37.16,37,36.11,67.35,67.23,hello,,
37.16,37,36.1,67.35,67.23,hello,,
37.12,37,36.08,67.32,67.23,hello,,
37.12,37,46.56,67.32,67.23,hello,,
