temp,Setpoint,,,
36.54,37,103.61,66.88,67.23
36.54,37,103.64,66.88,67.23
36.54,37,103.68,66.88,67.23
36.54,37,103.71,66.88,67.23
36.54,37,103.75,66.88,67.23
36.51,37,103.78,66.85,67.23
36.54,37,113.78,66.88,67.23
36.54,37,98.61,66.88,67.23
36.54,37,103.89,66.88,67.23
36.54,37,103.93,66.88,67.23
36.54,37,103.96,66.88,67.23
36.54,37,104,66.88,67.23
36.58,37,104.03,66.9,67.23
36.54,37,94.08,66.88,67.23
36.54,37,109.36,66.88,67.23
36.54,37,104.14,66.88,67.23
36.54,37,104.17,66.88,67.23
36.51,37,104.21,66.85,67.23
36.54,37,114.2,66.88,67.23
36.54,37,99.04,66.88,67.23
36.54,37,104.31,66.88,67.23
36.54,37,104.35,66.88,67.23
36.54,37,104.38,66.88,67.23
36.54,37,104.42,66.88,67.23
36.58,37,104.45,66.9,67.23
36.54,37,94.5,66.88,67.23
36.54,37,109.78,66.88,67.23
36.54,37,104.56,66.88,67.23
36.54,37,104.59,66.88,67.23
36.54,37,104.63,66.88,67.23
36.51,37,104.66,66.85,67.23
36.54,37,114.66,66.88,67.23
36.54,37,99.49,66.88,67.23
36.51,37,104.77,66.85,67.23
36.51,37,114.77,66.85,67.23
36.51,37,109.56,66.85,67.23
36.54,37,109.6,66.88,67.23
36.51,37,99.68,66.85,67.23
36.54,37,114.92,66.88,67.23
36.51,37,99.75,66.85,67.23
36.51,37,114.99,66.85,67.23
36.54,37,109.79,66.88,67.23
36.51,37,99.86,66.85,67.23
36.51,37,115.1,66.85,67.23
36.51,37,109.9,66.85,67.23
36.51,37,109.93,66.85,67.23
36.51,37,109.97,66.85,67.23
36.51,37,110.01,66.85,67.23
36.48,37,110.05,66.82,67.23
36.48,37,120.04,66.82,67.23
36.48,37,114.84,66.82,67.23
36.51,37,114.89,66.85,67.23
36.48,37,104.97,66.82,67.23
36.48,37,120.2,66.82,67.23
36.44,37,115,66.8,67.23
36.48,37,125.01,66.82,67.23
36.48,37,109.85,66.82,67.23
36.48,37,115.13,66.82,67.23
36.44,37,115.17,66.8,67.23
36.44,37,125.17,66.8,67.23
36.48,37,119.97,66.82,67.23
36.44,37,110.05,66.8,67.23
36.44,37,125.3,66.8,67.23
36.44,37,120.1,66.8,67.23
36.44,37,120.14,66.8,67.23
36.44,37,120.18,66.8,67.23
36.44,37,120.23,66.8,67.23
36.44,37,120.27,66.8,67.23
36.44,37,120.31,66.8,67.23
36.44,37,120.36,66.8,67.23
36.44,37,120.4,66.8,67.23
36.41,37,120.44,66.77,67.23
36.41,37,130.45,66.77,67.23
36.41,37,125.25,66.77,67.23
36.37,37,125.3,66.74,67.23
36.41,37,135.33,66.77,67.23
36.41,37,120.13,66.77,67.23
36.41,37,125.44,66.77,67.23
36.41,37,125.48,66.77,67.23
36.41,37,125.53,66.77,67.23
36.41,37,125.57,66.77,67.23
36.37,37,125.62,66.74,67.23
36.37,37,135.65,66.74,67.23
36.37,37,130.45,66.74,67.23
36.37,37,130.49,66.74,67.23
36.37,37,130.54,66.74,67.23
36.37,37,130.59,66.74,67.23
36.37,37,130.64,66.74,67.23
36.37,37,130.69,66.74,67.23
36.37,37,130.74,66.74,67.23
36.37,37,130.78,66.74,67.23
36.37,37,130.83,66.74,67.23
36.37,37,130.88,66.74,67.23
36.37,37,130.93,66.74,67.23
36.37,37,130.98,66.74,67.23
36.37,37,131.03,66.74,67.23
36.41,37,131.07,66.77,67.23
36.37,37,121.13,66.74,67.23
36.41,37,136.42,66.77,67.23
36.41,37,121.23,66.77,67.23
36.37,37,126.53,66.74,67.23
36.41,37,136.56,66.77,67.23
36.37,37,121.37,66.74,67.23
36.44,37,136.66,66.8,67.23
36.44,37,111.5,66.8,67.23
36.44,37,122.04,66.8,67.23
36.41,37,122.08,66.77,67.23
36.44,37,132.09,66.8,67.23
36.44,37,116.93,66.8,67.23
36.48,37,122.22,66.82,67.23
36.48,37,112.3,66.82,67.23
36.48,37,117.58,66.82,67.23
36.48,37,117.62,66.82,67.23
36.48,37,117.66,66.82,67.23
36.51,37,117.7,66.85,67.23
36.51,37,107.78,66.85,67.23
36.51,37,113.06,66.85,67.23
36.54,37,113.1,66.88,67.23
36.51,37,103.17,66.85,67.23
36.54,37,118.41,66.88,67.23
36.51,37,103.25,66.85,67.23
36.58,37,118.48,66.9,67.23
36.58,37,93.33,66.9,67.23
36.58,37,103.86,66.9,67.23
36.58,37,103.89,66.9,67.23
36.58,37,103.93,66.9,67.23
36.61,37,103.96,66.93,67.23
36.61,37,94.03,66.93,67.23
36.61,37,99.3,66.93,67.23
36.61,37,99.33,66.93,67.23
36.58,37,99.36,66.9,67.23
36.61,37,109.35,66.93,67.23
36.61,37,94.18,66.93,67.23
36.65,37,99.45,66.95,67.23
36.61,37,89.52,66.93,67.23
36.65,37,104.75,66.95,67.23
36.65,37,89.58,66.95,67.23
